std_company_name,ISIN,bse_symbol,nse_symbol
Karur Vysya Bank Ltd.,INE036D01028,KARURVYSYA,KARURVYSYA
Jai Balaji Industries Limited,INE091G01018,JAIBALAJI,JAIBALAJI
Century Plyboards (India) Ltd.,INE348B01021,CENTURYPLY,CENTURYPLY
Kirloskar Oil Engines Limited,INE146L01010,KIRLOSENG,KIRLOSENG
IFCI Ltd.,INE039A01010,IFCI,IFCI
AstraZeneca Pharma India Ltd.,INE203A01020,ASTRAZEN,ASTRAZEN
LMW Limited,INE269B01029,LMW,LMW
Bombay Burmah Trading Corpn. Ltd.,INE050A01025,BBTC,BBTC
BEML Ltd,INE258A01016,BEML,BEML
BIRLASOFT LIMITED,INE836A01035,BSOFT,BSOFT
ramkrishna forgings Ltd.,INE399G01023,RKFORGE,RKFORGE
DCM Shriram Limited,INE499A01024,DCMSHRIRAM,DCMSHRIRAM
Navin Fluorine International Limited,INE048G01026,NAVINFLUOR,NAVINFLUOR
Wockhardt Ltd,INE049B01025,WOCKPHARMA,WOCKPHARMA
Asahi India Glass Ltd.,INE439A01020,ASAHIINDIA,ASAHIINDIA
Indian Energy Exchange Limited,INE022Q01020,IEX,IEX
Capri Global Capital Limited,INE180C01042,CGCL,CGCL
Zensar Technologies Ltd.,INE520A01027,ZENSARTECH,ZENSARTECH
HBL ENGINEERING LIMITED,INE292B01021,HBLENGINE,HBLENGINE
Newgen Software Technologies Limited,INE619B01017,NEWGEN,NEWGEN
WAAREE RENEWABLE TECHNOLOGIES LIMITED,INE299N01021,WAAREERTL,
Ventive Hospitality Limited,INE781S01027,VENTIVE,VENTIVE
Aptus Value Housing Finance India Limited,INE852O01025,APTUS,APTUS
BLS International Services Ltd,INE153T01027,BLS,BLS
Anand Rathi Wealth Limited,INE463V01026,ANANDRATHI,ANANDRATHI
JUBILANT PHARMOVA LIMITED,INE700A01033,JUBLPHARMA,JUBLPHARMA
Tata Teleservices (Maharashtra) Ltd.,INE517B01013,TTML,TTML
WELSPUN LIVING LIMITED,INE192B01031,WELSPUNLIV,WELSPUNLIV
Neuland Laboratories Limited.,INE794A01010,NEULANDLAB,NEULANDLAB
IndiaMART InterMESH Limited,INE933S01016,INDIAMART,INDIAMART
PCBL LIMITED,INE602A01031,PCBL,PCBL
Action Construction Equipments Ltd.,INE731H01025,ACE,ACE
Akzo Nobel India Limited,INE133A01011,AKZOINDIA,AKZOINDIA
Manappuram Finance Limited,INE522D01027,MANAPPURAM,MANAPPURAM
Mahanagar Gas Limited,INE002S01010,MGL,MGL
PG Electroplast Limited,INE457L01029,PGEL,PGEL
Kirloskar Brothers Ltd.,INE732A01036,KIRLOSBROS,KIRLOSBROS
DOMS Industries Limited,INE321T01012,DOMS,DOMS
Clean Science and Technology Limited,INE227W01023,CLEAN,CLEAN
Fine Organic Industries Limited,INE686Y01026,FINEORG,FINEORG
G R Infraprojects Limited,INE201P01022,GRINFRA,GRINFRA
Zen Technologies Ltd.,INE251B01027,ZENTEC,ZENTEC
ACME Solar Holdings Limited,INE622W01025,ACMESOLAR,ACMESOLAR
RITES Limited,INE320J01015,RITES,RITES
Redington Limited,INE891D01026,REDINGTON,REDINGTON
Sai Life Sciences Limited,INE570L01029,SAILIFE,SAILIFE
KSB LIMITED,INE999A01023,KSB,KSB
UTI Asset Management Company Limited,INE094J01016,UTIAMC,UTIAMC
Sanofi India Ltd,INE058A01010,SANOFI,SANOFI
Supreme Petrochem Ltd.,INE663A01033,SPLPETRO,SPLPETRO
Data Patterns (India) Limited,INE0IX101010,DATAPATTNS ,DATAPATTNS
NMDC Steel Limited,INE0NNS01018,NSLNISP,NSLNISP
Indegene Limited,INE065X01017,INDGN,INDGN
Godrej Agrovet Limited,INE850D01014,GODREJAGRO,GODREJAGRO
PVR INOX LIMITED,INE191H01014,PVRINOX,PVRINOX
Reliance Power Limited,INE614G01033,RPOWER,RPOWER
NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,INE995S01015,NIVABUPA,NIVABUPA
NETWEB TECHNOLOGIES INDIA LIMITED,INE0NT901020,NETWEB,NETWEB
E.I.D. Parry (India) Ltd.,INE126A01031,EIDPARRY,EIDPARRY
NAVA LIMITED,INE725A01022,NAVA,NAVA
Caplin Point Laboratories Ltd.,INE475E01026,CAPLIPOINT,CAPLIPOINT
GRAVITA INDIA LIMITED,INE024L01027,GRAVITA,GRAVITA
RailTel Corporation of India Limited,INE0DD101019,RAILTEL,RAILTEL
Vardhman Textiles Limted,INE825A01020,VTL,VTL
Granules India Ltd.,INE101D01020,GRANULES,GRANULES
eClerx Services Limited,INE738I01010,ECLERX,ECLERX
STERLING AND WILSON RENEWABLE ENERGY LIMITED,INE00M201021,SWSOLAR,SWSOLAR
Rainbow Children's Medicare Limited,INE961O01016,RAINBOW,RAINBOW
Elecon Engineering Co.Ltd.,INE205B01031,ELECON,ELECON
Sarda Energy & Minerals Ltd,INE385C01021,SARDAEN,SARDAEN
GODAWARI POWER AND ISPAT LTD.,INE177H01039,GPIL,GPIL
Praj Industries Ltd.,INE074A01025,PRAJIND,PRAJIND
AAVAS Financiers Limited,INE216P01012,AAVAS,AAVAS
Deepak Fertilizers &Petrochemicals,INE501A01019,DEEPAKFERT,DEEPAKFERT
Raymond Lifestyle Limited,INE02ID01020,RAYMONDLSL,RAYMONDLSL
Ingersoll-Rand (India) Ltd.,INE177A01018,INGERRAND,INGERRAND
OLECTRA GREENTECH LIMITED,INE260D01016,OLECTRA,OLECTRA
Zydus Wellness Limited,INE768C01010,ZYDUSWELL,ZYDUSWELL
Honasa Consumer Limited,INE0J5401028,HONASA,HONASA
MMTC Ltd.,INE123F01029,MMTC,MMTC
Craftsman Automation Limited,INE00LO01017,CRAFTSMAN,CRAFTSMAN
Inox Wind Energy Limited,INE0FLR01028,IWEL,IWEL
Zee Entertainment Enterprises Ltd.,INE256A01028,ZEEL,ZEEL
WESTLIFE FOODWORLD LIMITED,INE274F01020,WESTLIFE,WESTLIFE
LT Foods Limited,INE818H01020,LTFOODS,LTFOODS
Glenmark Life Sciences Limited,INE03Q201024,GLS,GLS
Jaiprakash Power Ventures Limited,INE351F01018,JPPOWER,JPPOWER
Minda Corporation Limited,INE842C01021,MINDACORP,MINDACORP
INTELLECT DESIGN ARENA LIMITED,INE306R01017,INTELLECT,INTELLECT
City Union Bank Ltd,INE491A01021,CUB,CUB
Nuvoco Vistas Corporation Limited,INE118D01016,NUVOCO,NUVOCO
Chennai Petroleum Corporation Ltd.,INE178A01016,CHENNPETRO,CHENNPETRO
Akums Drugs and Pharmaceuticals Limited,INE09XN01023,AKUMS,AKUMS
VOLTAMP TRANSFORMERS LIMITED,INE540H01012,VOLTAMP,VOLTAMP
Transformers and Rectifiers (India) Limited,INE763I01026,TARIL,TARIL
TTK Prestige Ltd.,INE690A01028,TTKPRESTIG,TTKPRESTIG
Genus Power Infrastructures Ltd,INE955D01029,GENUSPOWER,GENUSPOWER
Alok Industries Ltd.,INE270A01029,ALOKINDS,ALOKINDS
RBL Bank Limited,INE976G01028,RBLBANK,RBLBANK
Engineers India Ltd.,INE510A01028,ENGINERSIN,ENGINERSIN
RHI MAGNESITA INDIA LIMITED,INE743M01012,RHIM,RHIM
Marksans Pharma Ltd.,INE750C01026,MARKSANS,MARKSANS
Raymond Limited,INE301A01014,RAYMOND,RAYMOND
Happiest Minds Technologies Limited,INE419U01012,HAPPSTMNDS,HAPPSTMNDS
Tega Industries Limited,INE011K01018,TEGA,TEGA
Aether Industries Limited,INE0BWX01014,AETHER,AETHER
JM Financial Limited,INE780C01023,JMFINANCIL,JMFINANCIL
Safari Industries (India) Ltd.,INE429E01023,SAFARI,SAFARI
Ceat Ltd.,INE482A01020,CEATLTD,CEATLTD
Shipping Corporation Of India Ltd,INE109A01011,SCI,SCI
Gujarat Mineral Development Corpora,INE131A01031,GMDCLTD,GMDCLTD
Sammaan Capital Limited,INE148I01020,SAMMAANCAP,SAMMAANCAP
Jammu and Kashmir Bank Ltd.,INE168A01041,J&KBANK,J&KBANK
Maharashtra Scooters Ltd.,INE288A01013,MAHSCOOTER,MAHSCOOTER
Usha Martin Ltd.,INE228A01035,USHAMART,USHAMART
TANLA PLATFORMS LIMITED,INE483C01032,TANLA,TANLA
Electrosteel Castings Ltd.,INE086A01029,ELECTCAST,ELECTCAST
Sanofi Consumer Healthcare India Limited,INE0UOS01011,SANOFICONR,SANOFICONR
Balrampur Chini Mills Ltd.,INE119A01028,BALRAMCHIN,BALRAMCHIN
Can Fin Homes Ltd.,INE477A01020,CANFINHOME,CANFINHOME
Jubilant Ingrevia Limited,INE0BY001018,JUBLINGREA,JUBLINGREA
JSW Holdings Limited,INE824G01012,JSWHL,JSWHL
C.E. Info Systems Limited,INE0BV301023,MAPMYINDIA,MAPMYINDIA
India Cements Ltd.,INE383A01012,INDIACEM,INDIACEM
KPI Green Energy Limited,INE542W01025,KPIGREEN,KPIGREEN
REDTAPE Limited,INE0LXT01019,REDTAPE,REDTAPE
Happy Forgings Limited,INE330T01021,HAPPYFORGE,HAPPYFORGE
JK Tyre & Industries Ltd.,INE573A01042,JKTYRE,JKTYRE
Metropolis Healthcare Limited,INE112L01020,METROPOLIS,METROPOLIS
INOX India Limited,INE616N01034,INOXINDIA,INOXINDIA
Eureka Forbes Limited,INE0KCE01017,EUREKAFORB,EUREKAFORB
Cera Sanitaryware Ltd.,INE739E01017,CERA,CERA
Alkyl Amines Chemicals Ltd.,INE150B01039,ALKYLAMINE,ALKYLAMINE
Vesuvius India Ltd.,INE386A01015,VESUVIUS,VESUVIUS
Bengal & Assam Company Limited,INE083K01017,BENGALASM,
Quess Corp Limited,INE615P01015,QUESS,QUESS
Prudent Corporate Advisory Services Limited,INE00F201020,PRUDENT,PRUDENT
Bajaj Electricals Ltd.,INE193E01025,BAJAJELEC,BAJAJELEC
Graphite India Ltd.,INE371A01025,GRAPHITE,GRAPHITE
PNC Infratech Limited,INE195J01029,PNCINFRA,PNCINFRA
Lemon Tree Hotels Limited,INE970X01018,LEMONTREE,LEMONTREE
Sapphire Foods India Limited,INE806T01020,SAPPHIRE,SAPPHIRE
ISGEC Heavy Engineering Limited,INE858B01029,ISGEC,ISGEC
Galaxy Surfactants Limited,INE600K01018,GALAXYSURF,GALAXYSURF
Rashtriya Chemicals & Fertilizers Limited,INE027A01015,RCF,RCF
RATTANINDIA ENTERPRISES LIMITED,INE834M01019,RTNINDIA,RTNINDIA
Puravankara Limited,INE323I01011,PURVA,PURVA
Gujarat Pipavav Port Limited,INE517F01014,GPPL,GPPL
Symphony Limited,INE225D01027,SYMPHONY,SYMPHONY
Kirloskar Ferrous Industries Ltd.,INE884B01025,KIRLFER,
Birla Corporation Ltd.,INE340A01012,BIRLACORPN,BIRLACORPN
Mrs. Bectors Food Specialities Limited,INE495P01012,BECTORFOOD,BECTORFOOD
Saregama India Ltd.,INE979A01025,SAREGAMA,SAREGAMA
VALOR ESTATE LIMITED,INE879I01012,DBREALTY,DBREALTY
Network 18 Media & Investments Limited,INE870H01013,NETWORK18,NETWORK18
Arvind Ltd.,INE034A01011,ARVIND,ARVIND
Thomas Cook (India) Ltd.,INE332A01027,THOMASCOOK,THOMASCOOK
Sheela Foam Limited,INE916U01025,SFL,SFL
Reliance Infrastructure Ltd,INE036A01016,RELINFRA,RELINFRA
Latent View Analytics Limited,INE0I7C01011,LATENTVIEW,LATENTVIEW
Edelweiss Financial Services Ltd.,INE532F01054,EDELWEISS,EDELWEISS
Elantas Beck India Ltd,INE280B01018,ELANTAS,
Home First Finance Company India Limited,INE481N01025,HOMEFIRST,HOMEFIRST
P N GADGIL JEWELLERS LIMITED,INE953R01016,PNGJL,PNGJL
Force Motors Limited,INE451A01017,FORCEMOT,FORCEMOT
Route Mobile Limited,INE450U01017,ROUTE,ROUTE
Just Dial Limited,INE599M01018,JUSTDIAL,JUSTDIAL
H.G. Infra Engineering Limited,INE926X01010,HGINFRA,HGINFRA
Ion Exchange (India) Ltd,INE570A01022,IONEXCHANG,IONEXCHANG
Shree Renuka Sugars Ltd.,INE087H01022,RENUKA,RENUKA
Vijaya Diagnostic Centre Limited,INE043W01024,VIJAYA,VIJAYA
JK Lakshmi Cement Limited,INE786A01032,JKLAKSHMI,JKLAKSHMI
Azad Engineering Limited,INE02IJ01035,AZAD,AZAD
Esab India Ltd.,INE284A01012,ESABINDIA,ESABINDIA
Gujarat Narmada Valley Fert.Co.Ltd,INE113A01013,GNFC,GNFC
TIPS MUSIC LIMITED,INE716B01029,TIPSMUSIC,TIPSMUSIC
VA Tech Wabag Limited,INE956G01038,WABAG,WABAG
Triveni Engineering & Industries Ltd,INE256C01024,TRIVENI,TRIVENI
KNR Constructions Limited,INE634I01029,KNRCON,KNRCON
IIFL CAPITAL SERVICES LIMITED,INE489L01022,IIFLCAPS,IIFLCAPS
Allied Blenders and Distillers Limited,INE552Z01027,ABDL,ABDL
Power Mech Projects Limited,INE211R01019,POWERMECH,POWERMECH
Choice International Ltd,INE102B01014,CHOICEIN,CHOICEIN
Kirloskar Pneumatic Co.Ltd.,INE811A01020,KIRLPNU,KIRLPNU
Aurionpro Solutions Ltd.,INE132H01018,AURIONPRO,AURIONPRO
CCL Products (India) Ltd.,INE421D01022,CCL,CCL
Shakti Pumps (India) Ltd.,INE908D01010,SHAKTIPUMP,SHAKTIPUMP
SBFC Finance Limited,INE423Y01016,SBFC,SBFC
PRISM JOHNSON LIMITED.,INE010A01011,PRSMJOHNSN,PRSMJOHNSN
Jupiter Life Line Hospitals Limited,INE682M01012,JLHL,JLHL
Texmaco Rail & Engineering Limited,INE621L01012,TEXRAIL,TEXRAIL
Campus Activewear Limited,INE278Y01022,CAMPUS,CAMPUS
ITD Cementation India Ltd,INE686A01026,ITDCEM,ITDCEM
Shriram Pistons & Rings Ltd.,INE526E01018,,SHRIPISTON
National Standard (India) Limited,INE166R01015, NATIONSTD,
Time Technoplast Limited,INE508G01029,TIMETECHNO,TIMETECHNO
Senco Gold Limited,INE602W01019,SENCO,SENCO
LLOYDS ENGINEERING WORKS LIMITED,INE093R01011,LLOYDSENGG,LLOYDSENGG
Mastek Limited,INE759A01021,MASTEK,MASTEK
Keystone Realtors Limited,INE263M01029,RUSTOMJEE,RUSTOMJEE
BLACK BOX LIMITED,INE676A01027,BBOX,BBOX
Max Estates Limited,INE03EI01018,MAXESTATES,MAXESTATES
RateGain Travel Technologies Limited,INE0CLI01024,RATEGAIN,RATEGAIN
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,GSFC,GSFC
CMS Info Systems Limited,INE925R01014,CMSINFO,CMSINFO
Varroc Engineering Limited,INE665L01035,VARROC,VARROC
PROCTER & GAMBLE HEALTH LIMITED,INE199A01012,PGHL,PGHL
Maharashtra Seamless Ltd.,INE271B01025,MAHSEAMLES,MAHSEAMLES
HEG Ltd.,INE545A01024,HEG,HEG
Religare Enterprises Ltd,INE621H01010,RELIGARE,RELIGARE
Avanti Feeds ltd.,INE871C01038,AVANTIFEED,AVANTIFEED
Equitas Small Finance Bank Limited,INE063P01018,EQUITASBNK,EQUITASBNK
Archean Chemical Industries Limited,INE128X01021,ACI,ACI
Syrma SGS Technology Limited,INE0DYJ01015,SYRMA,SYRMA
Blue Jet Healthcare Limited,INE0KBH01020,BLUEJET,BLUEJET
Kama Holdings Limited,INE411F01010,KAMAHOLD,
Sansera Engineering Limited,INE953O01021,SANSERA,SANSERA
ASK Automotive Limited,INE491J01022,ASKAUTOLTD,ASKAUTOLTD
GARWARE HI-TECH FILMS LIMITED,INE291A01017,GRWRHITECH,GRWRHITECH
Star Cement Limited,INE460H01021,STARCEMENT,STARCEMENT
FDC Ltd.,INE258B01022,FDC,FDC
Juniper Hotels Limited,INE696F01016,JUNIPER,JUNIPER
Medplus Health Services Limited,INE804L01022,MEDPLUS,MEDPLUS
GALLANTT ISPAT LIMITED,INE297H01019,GALLANTT,GALLANTT
Karnataka Bank Ltd.,INE614B01018,KTKBANK,KTKBANK
Mahindra Lifespace Developers Ltd.,INE813A01018,MAHLIFE,MAHLIFE
TVS Supply Chain Solutions Limited,INE395N01027,TVSSCS,TVSSCS
Ganesh Housing Corporation Ltd.,INE460C01014,GANESHHOUC,GANESHHOUC
Transport Corporation of India Ltd,INE688A01022,TCI,TCI
Anupam Rasayan India Limited,INE930P01018,ANURAS,ANURAS
GMR Power and Urban Infra Limited,INE0CU601026,GMRP&UI,GMRP&UI
Sunteck Realty Ltd,INE805D01034,SUNTECK,SUNTECK
EQUINOX INDIA DEVELOPMENTS LIMITED,INE069I01010,EMBDL,EMBDL
Epigral Limited,INE071N01016,EPIGRAL,EPIGRAL
RattanIndia Power Limited,INE399K01017,RTNPOWER,RTNPOWER
Mahindra Holidays & Resorts India Limited,INE998I01010,MHRIL,MHRIL
Rajesh Exports Ltd.,INE343B01030,RAJESHEXPO,RAJESHEXPO
GARWARE TECHNICAL FIBRES LIMITED,INE276A01018,GARFIBRES,GARFIBRES
JK Paper Ltd.,INE789E01012,JKPAPER,JKPAPER
Shoppers Stop Ltd,INE498B01024,SHOPERSTOP,SHOPERSTOP
EPL LIMITED,INE255A01020,EPL,EPL
MOIL Limited,INE490G01020,MOIL,MOIL
Astra Microwave Products Ltd.,INE386C01029,ASTRAMICRO,ASTRAMICRO
Chemplast Sanmar Limited,INE488A01050,CHEMPLASTS,CHEMPLASTS
Sandur Manganese & Iron Ores Ltd.,INE149K01016,SANDUMA,SANDUMA
LS Industries Limited,INE345D01031,LSIND,
Ahluwalia Contracts (India) Ltd,INE758C01029,AHLUCONT,AHLUCONT
Electronics Mart India Limited,INE02YR01019,EMIL,EMIL
Diamond Power Infrastructure Limited,INE989C01038,DIACABS,DIACABS
TV18 Broadcast Ltd.,INE886H01027,TV18BRDCST,
Ujjivan Small Finance Bank Limited,INE551W01018,UJJIVANSFB,UJJIVANSFB
INFIBEAM AVENUES LIMITED,INE483S01020,INFIBEAM,INFIBEAM
Shilpa Medicare Ltd.,INE790G01031,SHILPAMED,SHILPAMED
India Shelter Finance Corporation Limited,INE922K01024,INDIASHLTR,INDIASHLTR
Paradeep Phosphates Limited,INE088F01024,PARADEEP,PARADEEP
ETHOS LIMITED,INE04TZ01018,ETHOSLTD,ETHOSLTD
Indo Count Industries Ltd,INE483B01026,ICIL,ICIL
Protean eGov Technologies Limited,INE004A01022,PROTEAN,
INSOLATION ENERGY LIMITED,INE0LGX01016,INA,
V-Mart Retail Limited,INE665J01013,VMART,VMART
Laxmi Organic Industries Limited,INE576O01020,LXCHEM,LXCHEM
Welspun Enterprises Limited,INE625G01013,WELENT,WELENT
PDS LIMITED,INE111Q01021,PDSL,PDSL
Hindustan Construction Co. Ltd.,INE549A01026,HCC,HCC
Dilip Buildcon Limited,INE917M01012,DBL,DBL
Mishra Dhatu Nigam Limited,INE099Z01011,MIDHANI,MIDHANI
MAN INFRACONSTRUCTION LIMITED,INE949H01023, MANINFRA,MANINFRA
IFB Industries Limited,INE559A01017,IFBIND,IFBIND
Dhanuka Agritech Ltd.,INE435G01025,DHANUKA,DHANUKA
Transrail Lighting Limited,INE454P01035,TRANSRAILL,TRANSRAILL
Tamilnad Mercantile Bank Limited,INE668A01016,TMB,TMB
Orchid Pharma Limited,INE191A01027,ORCHPHARMA,ORCHPHARMA
Nazara Technologies Limited,INE418L01021,NAZARA,NAZARA
Responsive Industries Ltd,INE688D01026,RESPONIND,RESPONIND
Piccadily Agro Industries ltd.,INE546C01010,PICCADIL,
Dodla Dairy Limited,INE021O01019,DODLA,DODLA
Arvind Fashions Limited,INE955V01021,ARVINDFASN,ARVINDFASN
BALU FORGE INDUSTRIES LIMITED,INE011E01029,BALUFORGE,BALUFORGE
Sundaram Finance Holdings Ltd.,INE202Z01029,,SUNDARMHLD
Indigo Paints Limited,INE09VQ01012,INDIGOPNTS,INDIGOPNTS
Balaji Amines Ltd.,INE050E01027,BALAMINES,BALAMINES
Greenlam Industries Ltd,INE544R01021,GREENLAM,GREENLAM
Sun Pharma Advanced Research Company Ltd.,INE232I01014,SPARC,SPARC
Technocraft Industries (India) Ltd.,INE545H01011,TIIL,TIIL
